"constructorStandingsId","raceId","constructorId","points.x","position","positionText","wins","constructorRef","name.x","nationality","url.x","constructorResultsId","points.y","status","year","round","circuitId","name.y","date","time","url.y","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time"
1,18,1,14,1,"1",1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",1,14,"\N",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
2,18,2,8,3,"3",0,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",2,8,"\N",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
3,18,3,9,2,"2",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",3,9,"\N",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
4,18,4,5,4,"4",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",4,5,"\N",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
5,18,5,2,5,"5",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",5,2,"\N",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
6,18,6,1,6,"6",0,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",6,1,"\N",2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
7,19,1,24,1,"1",1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",14,10,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
8,19,2,19,2,"2",0,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",13,11,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
9,19,3,9,4,"4",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",20,0,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
10,19,4,6,5,"5",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",17,1,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
11,19,5,2,8,"8",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",22,0,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
12,19,6,11,3,"3",1,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",12,10,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
13,19,7,5,6,"6",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",15,5,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
14,19,9,2,7,"7",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",16,2,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
15,19,11,0,9,"9",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",18,0,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
16,19,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",19,0,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
