"constructorStandingsId","raceId","constructorId","points","position","positionText","wins","year","round","circuitId","name.x","date","time","url.x","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","constructorRef","name.y","nationality","url.y"
1,18,1,14,1,"1",1,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
2,18,2,8,3,"3",0,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
3,18,3,9,2,"2",0,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
4,18,4,5,4,"4",0,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
5,18,5,2,5,"5",0,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
6,18,6,1,6,"6",0,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
7,19,1,24,1,"1",1,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
8,19,2,19,2,"2",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
9,19,3,9,4,"4",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
10,19,4,6,5,"5",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
