"raceId","driverId","mean_lap_time","total_pit_stops"
841,1,92975.1034482759,2
841,2,95507.0350877193,2
841,3,96448.9090909091,1
841,4,93138.4655172414,3
841,5,98761,1
841,10,111482.387755102,1
841,13,94059.3965517241,3
841,15,97384.5714285714,2
841,16,94645.5087719298,2
841,17,93248.7931034483,3
841,18,93526.9482758621,3
841,20,92590.6724137931,2
841,22,96734.5,4
841,30,101762.473684211,2
841,67,94363.2456140351,2
841,153,95244.2631578947,3
841,155,93916.0517241379,2
841,808,93117.5689655172,2
841,814,95153.7894736842,2
841,815,93725.9310344828,1
841,816,99528.1111111111,2
842,1,105531.946428571,4
842,2,105087.625,3
842,3,106650.363636364,3
842,4,105305,4
842,5,107336.781818182,2
842,10,108747.425925926,2
842,13,105299.821428571,3
842,15,109031.290322581,1
842,16,106450.196428571,3
842,17,105111,4
842,18,104698.089285714,3
842,20,104639.857142857,3
842,22,113979.5,2
842,24,112339.847826087,3
842,30,106155.857142857,3
842,67,107158.563636364,3
842,153,107329.236363636,2
842,155,105826.267857143,2
842,808,105781.673076923,3
842,814,106274.910714286,3
842,815,108356.391304348,1
842,816,109482.642857143,2
843,1,103896.892857143,3
843,2,105195.803571429,2
843,3,104137.035714286,3
843,4,104443.714285714,2
843,5,106036.8,2
843,10,108784.37037037,3
843,13,104179.75,2
843,15,106439.527272727,2
843,16,105799.2,3
843,17,104031.803571429,3
843,18,104075.464285714,3
843,20,103989.714285714,2
843,22,105507.410714286,2
843,24,109113.648148148,3
843,30,104450.928571429,3
843,39,109135.351851852,1
843,67,105516.017857143,3
843,153,107747.111111111,1
843,155,105026.767857143,2
843,808,104921.964285714,2
843,813,106188.418181818,3
843,814,105124.696428571,2
843,815,106098.8,4
843,816,108224.351851852,2
844,1,94099.8275862069,4
844,2,94455.4310344828,4
844,3,94225.8103448276,4
844,4,93579.8793103448,4
844,5,96810.2321428571,3
844,13,94782.4310344828,4
844,15,96208.2280701754,3
844,16,95104.0701754386,3
844,17,93558.0172413793,4
844,18,94430.8448275862,3
844,20,93406.1724137931,4
844,22,95288.701754386,3
844,24,102357.20754717,4
844,30,94879.3448275862,4
844,39,98667.9636363636,3
844,67,94602.6206896552,3
844,153,95291.4035087719,4
844,155,94751.3620689655,3
844,808,94581.4827586207,4
844,813,95651.8421052632,4
844,814,95705.9090909091,4
844,815,95104.6140350877,4
844,816,97637.5178571429,2
845,1,90059.5606060606,4
845,2,91892.5384615385,3
845,3,91885.6923076923,3
845,4,91597.7846153846,4
845,5,94524.5416666667,3
845,10,95668.8888888889,3
845,13,92440.6379310345,3
845,15,93925.046875,3
845,16,92666.7230769231,3
845,17,90776.7727272727,4
845,18,90590.8787878788,3
845,20,90050.0151515152,4
845,22,93061.9375,4
845,24,96448.0714285714,1
845,30,91872.2307692308,3
845,39,97551.3278688525,3
845,67,92766.7538461538,3
845,153,93028.265625,4
845,155,92281.8923076923,3
845,808,92479.2307692308,3
845,813,92770.4769230769,4
845,814,92577.0923076923,3
845,815,92209.3076923077,3
845,816,96110.9516129032,3
846,1,100071.576923077,3
846,2,101281.805194805,2
846,3,102553.421052632,3
846,4,99737.3205128205,2
846,5,102893.210526316,2
846,10,84400,1
846,13,82576.28125,1
846,15,102887.434210526,2
846,16,101232.597402597,2
846,17,100018.897435897,2
